1;1;2;1000.0;08/11/1995;10/11/1995;false;false
2;3;1;750.0;01/01/2024;05/01/2024;false;false
3;5;2;1200.0;10/02/2024;15/02/2024;false;false
4;7;3;950.0;20/03/2024;23/03/2024;false;false
5;2;4;500.0;05/04/2024;07/04/2024;false;false
6;8;2;1500.0;12/05/2024;18/05/2024;false;false
7;4;3;1100.0;25/06/2024;30/06/2024;false;false
8;6;1;850.0;15/07/2024;18/07/2024;false;false
9;9;4;600.0;22/08/2024;25/08/2024;false;false
10;10;3;1300.0;05/09/2024;10/09/2024;false;false
11;11;2;1000.0;20/10/2024;23/10/2024;false;false
